                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.46398,                0.56357,                0.32505,                0.92339,                0.97575,                      1,                0.99412,                0.89797,                0.97575,                      1,                0.99412,                 0.9165,                0.41036,                0.55175,                0.26915,                0.89822,              0.0058915,              0.0058915,              0.0058915
                     85,                0.45463,                 0.5752,                0.31814,                0.91153,                0.99084,                0.99568,                  0.995,                0.89213,                0.99084,                0.99568,                  0.995,                 0.9106,                0.40324,                 0.5368,                0.25496,                0.90308,               0.005842,               0.005842,               0.005842
                     86,                 0.4685,                0.54257,                0.32549,                0.91831,                0.98725,                0.99564,                0.99477,                0.89728,                0.98725,                0.99564,                0.99477,                0.90991,                0.39771,                0.53643,                0.25117,                0.90438,              0.0057925,              0.0057925,              0.0057925
                     87,                0.47129,                0.61367,                0.32611,                0.92466,                0.98598,                0.99232,                0.99477,                0.89136,                0.98598,                0.99232,                0.99477,                0.91774,                0.40845,                0.54864,                0.25391,                0.90434,               0.005743,               0.005743,               0.005743
                     88,                0.47314,                0.55881,                0.33163,                0.92641,                0.98989,                0.99307,                  0.995,                0.91284,                0.98989,                0.99307,                  0.995,                 0.9227,                0.41629,                0.54757,                0.25321,                0.90663,              0.0056935,              0.0056935,              0.0056935
                     89,                0.46053,                0.54729,                0.31665,                0.90915,                0.98713,                0.99445,                0.99477,                0.90548,                0.98713,                0.99445,                0.99477,                0.91095,                0.42076,                0.54041,                0.25413,                0.90752,               0.005644,               0.005644,               0.005644
                     90,                 0.4552,                0.58973,                0.32043,                 0.9116,                0.98894,                 0.9922,                0.99477,                0.89465,                0.98894,                 0.9922,                0.99477,                0.91654,                0.40789,                0.52811,                0.24738,                0.89902,              0.0055945,              0.0055945,              0.0055945
                     91,                0.46681,                0.54024,                 0.3199,                0.91581,                0.99188,                0.99344,                  0.995,                0.90502,                0.99188,                0.99344,                  0.995,                0.92824,                0.39922,                0.52986,                0.24531,                0.89916,               0.005545,               0.005545,               0.005545
                     92,                0.45416,                0.53668,                0.32094,                0.90912,                0.99471,                0.99501,                  0.995,                0.90138,                0.99471,                0.99501,                  0.995,                0.92943,                0.40581,                0.52807,                0.24328,                0.90283,              0.0054955,              0.0054955,              0.0054955
                     93,                 0.4404,                0.56072,                0.31161,                 0.9113,                0.98927,                      1,                  0.995,                0.90448,                0.98927,                      1,                  0.995,                 0.9284,                0.40655,                0.53526,                0.25003,                0.91039,               0.005446,               0.005446,               0.005446
                     94,                0.44769,                0.56168,                0.31634,                 0.9193,                0.98683,                      1,                  0.995,                0.91769,                0.98683,                      1,                  0.995,                 0.9348,                0.40009,                0.51938,                0.25248,                0.90461,              0.0053965,              0.0053965,              0.0053965
                     95,                0.44997,                0.56734,                0.32033,                0.91523,                0.98835,                      1,                  0.995,                 0.9042,                0.98835,                      1,                  0.995,                0.93269,                0.40504,                0.52638,                0.25946,                 0.8975,               0.005347,               0.005347,               0.005347
                     96,                0.43892,                0.55506,                0.31454,                0.90005,                0.99442,                      1,                  0.995,                0.91189,                0.99442,                      1,                  0.995,                0.92739,                0.40396,                0.54005,                0.26021,                0.89702,              0.0052975,              0.0052975,              0.0052975
